epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5304.88,1.26123,0.77028,1.0087,0.92234,0.82867,0.91363,0.57764,1.19808,0.642,0.99114,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,5478.71,1.25409,0.76835,1.01362,0.93023,0.82354,0.91724,0.58745,1.19737,0.63418,0.99382,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,5653.12,1.248,0.75414,1.00868,0.92478,0.83496,0.91564,0.57882,1.2067,0.6333,0.99327,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,5828.94,1.25742,0.75276,1.0132,0.92295,0.83425,0.91705,0.58456,1.19725,0.63006,0.99119,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,6024.52,1.23678,0.77031,1.00218,0.9239,0.83101,0.91498,0.58429,1.19389,0.63192,0.98898,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,6198.3,1.25251,0.76018,1.00772,0.92723,0.83231,0.91376,0.58367,1.19438,0.6183,0.99084,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,6371.11,1.24305,0.74425,1.00519,0.91131,0.8437,0.91999,0.58983,1.18782,0.61438,0.98709,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,6547.19,1.24442,0.73214,1.00712,0.92216,0.84373,0.92312,0.58955,1.19657,0.61542,0.99158,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,6719.12,1.24719,0.74315,1.00324,0.91726,0.84699,0.91933,0.58607,1.19426,0.61113,0.98909,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,6892.24,1.23259,0.73865,0.99861,0.91629,0.84244,0.91377,0.58105,1.19417,0.61487,0.98731,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,7065.86,1.23665,0.7331,1.00405,0.91812,0.84859,0.92228,0.59294,1.18271,0.60455,0.98621,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,7237.38,1.2044,0.65043,0.98582,0.92573,0.84339,0.91942,0.58641,1.18946,0.6157,0.98724,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,7409.15,1.18634,0.63958,0.98499,0.9267,0.83986,0.92023,0.59039,1.18975,0.60682,0.98703,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,7578.59,1.19647,0.63489,0.98324,0.92618,0.83648,0.91814,0.5884,1.18642,0.60895,0.98573,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,7746.08,1.18767,0.62703,0.98253,0.93051,0.83601,0.92096,0.58894,1.18677,0.60163,0.98589,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,7916.89,1.17611,0.62502,0.97805,0.92325,0.83894,0.91886,0.59074,1.17967,0.60204,0.98368,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,8087.44,1.17957,0.62177,0.9798,0.92488,0.84441,0.92038,0.59042,1.17967,0.59824,0.9837,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,8258.53,1.18078,0.61981,0.97786,0.92082,0.84545,0.91892,0.5896,1.18402,0.59686,0.9848,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,8430.56,1.17423,0.61787,0.97429,0.92758,0.83866,0.91829,0.59057,1.17972,0.5954,0.98463,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,8605.49,1.16663,0.61105,0.97413,0.91661,0.84469,0.91899,0.5916,1.17959,0.59522,0.98414,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,8777.53,1.17335,0.61761,0.97476,0.91976,0.84509,0.92035,0.59207,1.17875,0.59001,0.98382,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
