epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.753,1.21503,0.72145,1.03827,0.92602,0.84867,0.92886,0.59726,1.21397,0.626,1.04547,0.00142818,0.000476061,0.00142818,0.000476061,0.00142818,0.000476061,0.00142818,0.000476061
2,446.125,1.22935,0.73382,1.03978,0.91479,0.84739,0.92254,0.58793,1.22401,0.64732,1.04398,0.00280061,0.000933537,0.00280061,0.000933537,0.00280061,0.000933537,0.00280061,0.000933537
3,630.18,1.23725,0.75137,1.04211,0.92751,0.83421,0.92136,0.58236,1.24449,0.66347,1.05578,0.00411645,0.00137215,0.00411645,0.00137215,0.00411645,0.00137215,0.00411645,0.00137215
4,812.716,1.25383,0.77093,1.05041,0.91812,0.84296,0.92501,0.587,1.2438,0.66317,1.05277,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,996.239,1.25403,0.76652,1.05229,0.91501,0.8499,0.92282,0.58856,1.22485,0.65794,1.05079,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,1179.74,1.24572,0.75072,1.04753,0.92344,0.84493,0.92397,0.58601,1.24261,0.65069,1.05827,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,1361.53,1.25382,0.76827,1.05716,0.92435,0.84092,0.92392,0.58899,1.22565,0.65352,1.04969,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,1544.59,1.24826,0.75842,1.05541,0.92283,0.85089,0.92986,0.59301,1.22853,0.63736,1.0521,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,1726.67,1.24591,0.74037,1.04738,0.93101,0.83644,0.92771,0.59296,1.22413,0.64024,1.05046,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,1909.45,1.23838,0.7433,1.0465,0.93422,0.84686,0.92927,0.59089,1.22184,0.64637,1.04797,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,2091.51,1.23754,0.73114,1.04069,0.91949,0.85583,0.92858,0.58801,1.24051,0.63757,1.05497,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,2272.73,1.23307,0.73961,1.04591,0.91502,0.85545,0.92561,0.59249,1.23429,0.63409,1.05295,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,2454.48,1.23915,0.72661,1.04939,0.93447,0.84899,0.92977,0.59537,1.23326,0.62614,1.05119,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
