epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,2637.15,1.23928,0.7351,1.04761,0.91672,0.85799,0.92872,0.59108,1.22107,0.62533,1.04558,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,2816.39,1.2244,0.71849,1.03929,0.91932,0.85791,0.92618,0.59588,1.2266,0.61583,1.04581,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,2999.52,1.23134,0.71672,1.04179,0.91952,0.85318,0.9279,0.58995,1.23347,0.61623,1.04892,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,3182.76,1.22821,0.70948,1.04463,0.91185,0.85995,0.92522,0.59284,1.22751,0.62683,1.05121,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,3366.71,1.21145,0.70394,1.04127,0.91936,0.85808,0.9301,0.5984,1.22236,0.60146,1.04598,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,3548.06,1.21853,0.69559,1.03556,0.91773,0.85438,0.92999,0.59647,1.22326,0.61058,1.04701,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,3734.64,1.22259,0.69875,1.03562,0.91453,0.86897,0.93153,0.5978,1.22835,0.60559,1.04851,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,3919.57,1.22443,0.69614,1.03807,0.91544,0.85299,0.92801,0.59876,1.21383,0.60496,1.04226,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,4111.63,1.21313,0.71695,1.03128,0.9261,0.85432,0.93039,0.59791,1.21849,0.6079,1.04391,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,4292.58,1.20715,0.68941,1.03249,0.91323,0.86509,0.93165,0.60281,1.20871,0.59246,1.04048,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,4476.89,1.19775,0.6874,1.03066,0.91947,0.85853,0.9292,0.60158,1.21003,0.59365,1.04062,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,4660.18,1.18935,0.67726,1.02458,0.91488,0.85991,0.92845,0.60197,1.21626,0.59816,1.04365,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,4843.57,1.20491,0.67977,1.03376,0.91088,0.87008,0.9343,0.59973,1.21429,0.59008,1.04323,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,5023.36,1.19223,0.66015,1.03261,0.90302,0.87786,0.9329,0.60465,1.21291,0.58786,1.04155,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,5206.52,1.19441,0.66814,1.02631,0.91725,0.86821,0.9325,0.60816,1.20548,0.59094,1.03996,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,5390,1.19882,0.66466,1.02881,0.90481,0.87156,0.92937,0.59898,1.21527,0.59126,1.04373,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,5570.44,1.18572,0.66394,1.01919,0.91987,0.85997,0.93297,0.60546,1.20352,0.58463,1.03987,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,5753.51,1.1835,0.67023,1.02502,0.91933,0.86623,0.93471,0.60811,1.20326,0.58079,1.03646,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,5936.97,1.1774,0.65328,1.01674,0.91219,0.86894,0.93534,0.60401,1.21281,0.57552,1.0401,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,6121.44,1.18362,0.65916,1.02511,0.92537,0.86459,0.93502,0.6066,1.20767,0.57979,1.03852,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,6303.83,1.16724,0.67211,1.01587,0.92395,0.86723,0.93535,0.60452,1.20481,0.57376,1.03569,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,6488.22,1.18122,0.66023,1.02388,0.93313,0.85198,0.93589,0.60632,1.20881,0.57067,1.03901,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,6673.9,1.1755,0.64652,1.02113,0.92369,0.8628,0.93945,0.61097,1.19856,0.56703,1.03291,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,6859.43,1.17642,0.64154,1.01764,0.92818,0.87031,0.93943,0.61105,1.19886,0.56563,1.0365,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,7046.16,1.17699,0.64586,1.01726,0.9266,0.85895,0.9363,0.60936,1.20181,0.56375,1.03581,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,7230.78,1.16586,0.6419,1.01219,0.92189,0.87035,0.93893,0.60981,1.2047,0.56198,1.03483,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,7414.73,1.17445,0.64561,1.02224,0.92057,0.87125,0.93987,0.61199,1.20035,0.5558,1.03515,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,7595.11,1.14675,0.56251,1.00738,0.91364,0.87592,0.9381,0.60895,1.20471,0.56551,1.0367,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,7778.27,1.13294,0.55216,1.00209,0.92411,0.86582,0.9387,0.61396,1.20086,0.55886,1.03529,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,7959.77,1.13593,0.55113,1.00241,0.92586,0.86388,0.9389,0.61285,1.2,0.55793,1.03377,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,8140.22,1.13055,0.54422,1.00031,0.91496,0.87864,0.93909,0.61313,1.20092,0.55731,1.03333,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,8323.27,1.12265,0.54121,0.99711,0.92498,0.87133,0.93801,0.61396,1.19506,0.56076,1.03265,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,8505.18,1.12086,0.54254,1.00004,0.92868,0.86744,0.93852,0.61237,1.19745,0.55537,1.03308,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,8686.87,1.11883,0.53831,0.99405,0.92664,0.866,0.93745,0.612,1.19816,0.55665,1.03249,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,8871.68,1.11493,0.54006,0.99174,0.92524,0.87133,0.93808,0.61317,1.19768,0.55323,1.03252,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,9056.08,1.10835,0.53243,0.99237,0.92933,0.86717,0.93757,0.61367,1.19788,0.55326,1.03268,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,9240.45,1.11056,0.53771,0.98992,0.92557,0.87016,0.9376,0.6125,1.19867,0.55053,1.03241,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
